palavra,fonetica-divisao_silabica
gra·va·ta ,gɾa.vˈa.tɐ 
gra·va·ta ,gɾa.vˈa.tɐ 
gra·va·tá ,gɾa.va.tˈa 
gra·va·ti·nha ,gɾa.va.tʃˈĩ.ɲɐ 
gra·va·ti·nha ,gɾa.va.tʃˈĩ.ɲɐ 
gra·va·to ,gɾa.vˈa.tʊ 
gra·ve ,gɾˈa.vɪ 
gra·ve ,gɾˈa.vɪ 
gra·ve·men·te ,gɾa.vẽ.mˈẽ.tʃɪ
gra·ve·to ,gɾa.vˈe.tʊ 
grá·vi·da ,gɾˈa.vi.dɐ 
gra·vi·da·de ,gɾa.vi.dˈa.dʒɪ 
gra·vi·dar ,gɾa.vi.dˈaɾ 
gra·vi·dez ,gɾa.vi.dˈeʃ 
grá·vi·do ,gɾˈa.vi.dʊ 
gra·vi·lha ,gɾa.vˈi.ʎɐ 
gra·vís·si·mo ,gɾa.vˈi.sĩ.mʊ 
gra·vi·ta·ção ,gɾa.vi.ta.sˈɐ̃w 
gra·vi·ta·ci·o·nal ,gɾa.vi.ta.sjõ.nˈaw 
gra·vi·tão ,gɾa.vi.tˈɐ̃w 
gra·vi·tar ,gɾa.vi.tˈaɾ 
gra·ví·ti·co ,gɾa.vˈi.tʃi.kʊ 
gra·vi·to ,gɾa.vˈi.tʊ 
gra·vo·sa·men·te ,gɾa.vɔ.zã.mˈẽ.tʃɪ 
gra·vo·so ,gɾa.vˈo.zʊ 
gra·vu·ra ,gɾa.vˈu.ɾɐ 
gra·xa ,gɾˈa.ʃɐ 
gra·xo ,gɾˈa.ʃʊ 
gray ,
gra·zi·na ,gɾa.zˈĩ.nɐ 
gra·zi·na ,gɾa.zˈĩ.nɐ 
gra·zi·na ,gɾa.zˈĩ.nɐ 
gra·zi·nar ,gɾa.zĩ.nˈaɾ 
gré ,gɾˈɛ 
gre·co-la·ti·no ,gɾˌɛ.ko.la.tʃˈĩ.nʊ 
gre·co-ro·ma·no ,gɾˌɛ.ko.ɦõ.mˈɐ̃.nʊ 
green , 
gre·ga ,gɾˈe.gɐ 
gre·ga·men·te  ,gɾe.gã.mˈẽ.tʃɪ 
gre·ga·ri·a·men·te ,gɾe.ga.ɾi.ã.mˈẽ.tʃɪ 
gre·gá·ri·o ,gɾe.gˈa.ɾjʊ 
gre·gá·ri·o ,gɾe.gˈa.ɾjʊ 
gre·ga·ris·mo ,gɾe.ga.ɾˈiʒ.mʊ 
gre·go ,gɾˈe.gʊ 
gre·go ,gɾˈe.gʊ 
gre·go·ri·a·no ,gɾe.go.ɾi.ˈɐ̃.nʊ 
gre·go·ri·a·no ,gɾe.go.ɾi.ˈɐ̃.nʊ 
grei ,gɾˈej 
gre·la·do ,gɾe.lˈa.dʊ
gre·lar ,gɾe.lˈaɾ 
gre·lha ,gɾˈɛ.ʎɐ 
gre·lha·do ,gɾe.ʎˈa.dʊ 
gre·lha·do ,gɾe.ʎˈa.dʊ 
gre·lha·dor ,gɾe.ʎa.dˈoɾ 
gre·lhar ,gɾe.ʎˈaɾ 
gre·lo ,gɾˈe.lʊ 
gré·mi·o ,gɾˈɛ̃.mjʊ 
gre·ná ,gɾẽ.nˈa 
gre·ná ,gɾẽ.nˈa 
gre·nat , 
gre·nat , 
gre·nha ,gɾˈẽ.ɲɐ 
grés ,gɾˈɛʃ 
gre·ta ,gɾˈe.tɐ 
gre·ta·do ,gɾe.tˈa.dʊ 
gre·tar ,gɾe.tˈaɾ 
gre·ve ,gɾˈɛ.vɪ 
gre·vis·ta ,gɾe.vˈiʃ.tɐ 
gre·vis·ta ,gɾe.vˈiʃ.tɐ
gre·vis·ta ,gɾe.vˈiʃ.tɐ 
gri·far ,gɾi.fˈaɾ 
grif·fe , 
gri·fo ,gɾˈi.fʊ 
gri·fo ,gɾˈi.fʊ 
gri·lar ,gɾi.lˈaɾ 
gri·lhão ,gɾi.ʎˈɐ̃w 
gri·lir ,gɾi.lˈiɾ 
grill , 
gri·lo ,gɾˈi.lʊ 
gri·lo ,gɾˈi.lʊ 
gri·nal·da ,gɾĩ.nˈaw.dɐ 
grin·go ,gɾˈĩ.gʊ 
gri·pa·do ,gɾi.pˈa.dʊ 
gri·pal ,gɾi.pˈaw 
gri·par ,gɾi.pˈaɾ 
gri·pe ,gɾˈi.pɪ 
gris ,gɾˈiʃ 
gris ,gɾˈiʃ
gri·sa·lhar ,gɾi.za.ʎˈaɾ 
gri·sa·lho ,gɾi.zˈa.ʎʊ 
gri·são ,gɾi.zˈɐ̃w 
gri·sar ,gɾi.zˈaɾ 
gri·so ,gɾˈi.zʊ 
gri·su ,gɾi.zˈu 
gri·ta ,gɾˈi.tɐ 
gri·ta·da ,gɾi.tˈa.dɐ 
gri·tan·te ,gɾi.tˈɐ̃.tʃɪ 
gri·tar ,gɾi.tˈaɾ 
gri·ta·ri·a ,gɾi.ta.ɾˈi.ɐ 
gri·to ,gɾˈi.tʊ 
gri·var ,gɾi.vˈaɾ 
gro·gue ,gɾˈɔ.gɪ 
gro·gue ,gɾˈɔ.gɪ 
gro·nho ,gɾˈõ.ɲʊ 
groom , 
gro·sa ,gɾˈɔ.zɐ 
gro·sar ,gɾo.zˈaɾ 
gro·se·lha ,gɾo.zˈɛ.ʎɐ
gro·se·lha ,gɾo.zˈɛ.ʎɐ 
gross , 
gros·sa ,gɾˈɔ.sɐ 
gros·sei·ra ,gɾo.sˈej.ɾɐ 
gros·sei·ra·men·te ,gɾo.sej.ɾã.mˈẽ.tʃɪ 
gros·sei·ro ,gɾo.sˈej.ɾʊ 
gros·sei·ro ,gɾo.sˈej.ɾʊ 
gros·se·ri·a ,gɾo.se.ɾˈi.ɐ 
gros·so ,gɾˈo.sʊ 
gros·so ,gɾˈo.sʊ 
gros·so ,gɾˈo.sʊ 
gros·su·ra ,gɾo.sˈu.ɾɐ 
gro·tes·ca·men·te ,gɾo.teʃ.kã.mˈẽ.tʃɪ 
gro·tes·co ,gɾo.tˈeʃ.kʊ 
gro·tes·co ,gɾo.tˈeʃ.kʊ 
grou ,gɾˈo 
gru·a ,gɾˈu.ɐ 
gru·da·do ,gɾu.dˈa.dʊ 
gru·dar ,gɾu.dˈaɾ
gru·de ,gɾˈu.dʒɪ 
gru·de ,gɾˈu.dʒɪ 
gru·ir ,gɾwˈiɾ 
gru·lhar ,gɾu.ʎˈaɾ 
gru·me·te ,gɾũ.mˈe.tʃɪ 
gru·mo ,gɾˈũ.mʊ 
grun·ge , 
gru·nhi·do ,gɾũ.ɲˈi.dʊ 
gru·nhi·dor ,gɾũ.ɲi.dˈoɾ 
gru·nhi·dor ,gɾũ.ɲi.dˈoɾ 
gru·nhir ,gɾũ.ɲˈiɾ 
gru·nho ,gɾˈũ.ɲʊ 
gru·pa·do ,gɾʊ.pˈa.dʊ 
gru·par ,gɾʊ.pˈaɾ 
gru·pe·lho ,gɾʊ.pˈe.ʎʊ 
gru·pe·to ,gɾʊ.pˈe.tʊ 
gru·po ,gɾˈu.pʊ 
gru·pús·cu·lo ,gɾʊ.pˈuʃ.ku.lʊ 
gru·ta ,gɾˈu.tɐ
gru·yèr·e , 
gru·yèr·e , 
gua·che ,gwˈa.ʃɪ 
gua·da·me·ci ,gwa.dã.me.sˈi 
guai ,gu.ˈaj 
gual·dir ,gwaw.dʒˈiɾ 
gual·do ,gwˈaw.dʊ 
gual·te·ri·a·no ,gwaw.te.ɾi.ˈɐ̃.nʊ 
gua·ni·na ,gwã.nˈĩ.nɐ 
gua·no ,gwˈɐ̃.nʊ 
guan·te ,gwˈɐ̃.tʃɪ 
gua·pa·men·te ,gwa.pã.mˈẽ.tʃɪ 
gua·po ,gwˈa.pʊ 
gua·ra·cha ,gwa.ɾˈa.ʃɐ 
gua·ra·ná ,gwa.ɾã.nˈa 
gua·ra·ni ,gwa.ɾã.nˈi 
gua·ra·ni ,gwa.ɾã.nˈi 
gua·ra·ni ,gwa.ɾã.nˈi 
guar·da ,gwˈaɦ.dɐ 
guar·da ,gwˈaɦ.dɐ
guar·da de cor·po ,gwˌaɦ.dɐ.dʒi.kˈoh.pʊ 
guar·da-chu·va ,gwˌaɦ.dɐ.ʃˈu.vɐ 
guar·da-cos·tas ,gwˌaɦ.dɐ.kˈɔʃ.tɐʃ 
guar·da-cos·tas ,gwˌaɦ.dɐ.kˈɔʃ.tɐʃ 
guar·da-fa·tos ,gwˌaɦ.dɐ.fˈa.tʊʃ 
guar·da-fis·cal ,gwˌaɦ.dɐ.fiʃ.kˈaw 
guar·da-flo·res·tal ,gwˌaɦ.dɐ.flo.ɾeʃ.tˈaw 
guar·da-frei·o ,gwˌaɦ.dɐ.fɾˈej.ʊ 
guar·da-joi·as ,gwˌaɦ.dɐ.ʒˈɔj.ɐʃ 
guar·da-la·ma ,gwˌaɦ.dɐ.lˈɐ̃.mɐ 
guar·da-la·mas ,gwˌaɦ.dɐ.lˈɐ̃.mɐʃ 
guar·da-li·vros ,gwˌaɦ.dɐ.lˈi.vɾʊʃ 
guar·da-li·vros ,gwˌaɦ.dɐ.lˈi.vɾʊʃ 
guar·da-lou·ça ,gwˌaɦ.dɐ.lˈo.sɐ 
guar·da-ma·ri·nha ,gwˌaɦ.dɐ.ma.ɾˈĩ.ɲɐ 
guar·da-mor ,gwˌaɦ.dɐ.mˈɔɾ 
guar·da-pó ,gwˌaɦ.dɐ.pˈɔ 
guar·da-re·pu·bli·ca·no ,gwˌaɦ.dɐ.ɦe.pu.bli.kˈɐ̃.nʊ
guar·da-ri·os ,gwˌaɦ.dɐ.ɦˈi.ʊʃ 
guar·da-rou·pa ,gwˌaɦ.dɐ.ɦˈo.pɐ 
guar·da-rou·pa ,gwˌaɦ.dɐ.ɦˈo.pɐ 
guar·da-sol ,gwˌaɦ.dɐ.sˈɔw 
guar·da-ven·to ,gwˌaɦ.dɐ.vˈẽ.tʊ 
guar·da-ves·ti·dos ,gwˌaɦ.dɐ.veʃ.tʃˈi.dʊʃ 
guar·da-ves·ti·dos ,gwˌaɦ.dɐ.veʃ.tʃˈi.dʊʃ 
guar·da·do ,gwaɦ.dˈa.dʊ 
guar·da·dor ,gwaɦ.da.dˈoɾ 
guar·da·dor ,gwaɦ.da.dˈoɾ 
guar·da·do·ra ,gwaɦ.da.dˈo.ɾɐ 
guar·da·na·po ,gwaɦ.dã.nˈa.pʊ 
guar·dar ,gwaɦ.dˈaɾ 
guar·den·se ,gwaɦ.dˈẽ.sɪ 
guar·di·ão ,gwaɦ.dʒi.ˈɐ̃w 
gua·ri·da ,gwa.ɾˈi.dɐ 
gua·rir ,gwa.ɾˈiɾ 
gua·ri·ta ,gwa.ɾˈi.tɐ 
guar·ne·cer ,gwaɦ.ne.sˈeɾ
guar·ne·ci·do ,gwaɦ.ne.sˈi.dʊ 
guar·ne·ci·men·to ,gwaɦ.ne.sĩ.mˈẽ.tʊ 
guar·ni·ção ,gwaɦ.ni.sˈɐ̃w 
gua·te·mal·te·ca ,gwa.tẽ.maw.tˈɛ.kɐ 
gua·te·mal·te·co ,gwa.tẽ.maw.tˈɛ.kʊ 
gua·te·mal·te·co ,gwa.tẽ.maw.tˈɛ.kʊ 
gua·xi·nim ,gwa.ʃĩ.nˈĩ 
gu·de ,gˈu.dʒɪ 
gue·de·lha ,ge.dˈe.ʎɐ 
gue·de·lhu·do ,ge.de.ʎˈu.dʊ 
guei·ro ,gˈej.ɾʊ 
guei·xa ,gˈej.ʃɐ 
guel·ra ,gˈɛw.ɦɐ 
guer·ra ,gˈɛ.ɦɐ 
guer·re·ar ,ge.ɦi.ˈaɾ 
guer·rei·a ,ge.ɦˈej.ɐ 
guer·rei·ra ,ge.ɦˈej.ɾɐ 
guer·rei·ra·men·te  ,ge.ɦej.ɾã.mˈẽ.tʃɪ 
guer·rei·ro ,ge.ɦˈej.ɾʊ 
guer·rei·ro ,ge.ɦˈej.ɾʊ
guer·ri·lha ,ge.ɦˈi.ʎɐ 
guer·ri·lha ,ge.ɦˈi.ʎɐ 
guer·ri·lhar ,ge.ɦi.ʎˈaɾ 
guer·ri·lhei·ro ,ge.ɦi.ʎˈej.ɾʊ 
guer·ri·lhei·ro ,ge.ɦi.ʎˈej.ɾʊ 
gue·to ,gˈe.tʊ 
gu·gu ,gu.gˈu 
gui·a ,gˈi.ɐ 
gui·a ,gˈi.ɐ 
gui·a ,gˈi.ɐ 
gui·a·dor ,gi.a.dˈoɾ 
gui·a·dor ,gi.a.dˈoɾ 
gui·a·men·to ,gi.ã.mˈẽ.tʊ 
gui·a·nen·se ,gi.ã.nˈẽ.sɪ 
gui·a·nen·se ,gi.ã.nˈẽ.sɪ 
gui·a·nen·se ,gi.ã.nˈẽ.sɪ 
gui·a·nês ,gi.ã.nˈeʃ 
gui·a·nês ,gi.ã.nˈeʃ 
gui·ão ,gi.ˈɐ̃w 
gui·ar ,gˈi.aɾ
gui·ché ,gi.ʃˈɛ 
gui·chet , 
gui·dão ,gi.dˈɐ̃w 
guil·da ,gˈiw.dɐ 
gui·lher·me ,gi.ʎˈɛɦ.mɪ 
gui·lho ,gˈi.ʎʊ 
gui·lho·ti·na ,gi.ʎo.tʃˈĩ.nɐ 
gui·lho·ti·nar ,gi.ʎo.tʃĩ.nˈaɾ 
guim·ba ,gˈĩ.bɐ 
guim·bar·da ,gĩ.bˈaɦ.dɐ 
gui·na ,gˈĩ.nɐ 
gui·na·da ,gĩ.nˈa.dɐ 
gui·nar ,gĩ.nˈaɾ 
guin·cha ,gˈĩ.ʃɐ 
guin·char ,gĩ.ʃˈaɾ 
guin·cho ,gˈĩ.ʃʊ 
guin·da ,gˈĩ.dɐ 
guin·da·do ,gĩ.dˈa.dʊ 
guin·dar ,gĩ.dˈaɾ 
guin·das·te ,gĩ.dˈaʃ.tʃɪ
gui·né ,gĩ.nˈɛ 
gui·ne·en·se ,gĩ.ne.ˈẽ.sɪ 
gui·néu ,gĩ.nˈɛw 
gui·sa ,gˈi.zɐ 
gui·sa·do ,gi.zˈa.dʊ 
gui·sa·do ,gi.zˈa.dʊ 
gui·sar ,gi.zˈaɾ 
gui·ta ,gˈi.tɐ 
gui·ta ,gˈi.tɐ 
gui·tar·ra ,gi.tˈa.ɦɐ 
gui·tar·ra·da ,gi.ta.ɦˈa.dɐ 
gui·tar·ris·ta ,gi.ta.ɦˈiʃ.tɐ 
gui·tar·ris·ta ,gi.ta.ɦˈiʃ.tɐ 
gui·zo ,gˈi.zʊ 
gu·la ,gˈu.lɐ 
gu·lag , 
gu·lo·di·ce ,gu.lo.dʒˈi.sɪ
gu·lo·sa ,gu.lˈɔ.zɐ 
gu·lo·sa·men·te ,gu.lo.zã.mˈẽ.tʃɪ 
gu·lo·sar ,gu.lo.zˈaɾ 
gu·lo·sei·ma ,gu.lo.zˈẽj.mɐ 
gu·lo·so ,gu.lˈo.zʊ 
gu·lo·so ,gu.lˈo.zʊ 
gum·bé ,gũ.bˈɛ 
gu·me ,gˈũ.mɪ 
gun·da ,gˈũ.dɐ 
gun·ga ,gˈũ.gɐ 
gun·ga ,gˈũ.gɐ 
gu·ri ,gu.ɾˈi 
gu·ri ,gu.ɾˈi 
gu·ru ,gu.ɾˈu 
gu·ru ,gu.ɾˈu 
gu·ru·pés ,gu.ɾʊ.pˈɛʃ 
gu·sa ,gˈu.zɐ 
gu·sa·no ,gu.zˈɐ̃.nʊ 
gus·ta·ti·vo ,gʊʃ.ta.tʃˈi.vʊ 
gu·ta ,gˈu.tɐ
gu·ter·ris·mo ,gu.tɛ.ɦˈiʒ.mʊ 
gu·ter·ris·ta ,gu.tɛ.ɦˈiʃ.tɐ 
gu·to ,gˈu.tʊ 
gu·tu·ral ,gu.tu.ɾˈaw 
gu·tu·ral ,gu.tu.ɾˈaw 
gu·tu·ral·men·te  ,gu.tu.ɾaw.mˈẽ.tʃɪ 
gu·za·ra·te ,gu.za.ɾˈa.tʃɪ 
gu·ze·ra·te ,gu.ze.ɾˈa.tʃɪ 
hã ,ˈɐ̃ 
há ,ˈa 
ha·ba·ne·ra ,a.bã.nˈɛ.ɾɐ 
há·bil ,ˈa.biw 
ha·bi·li·da·de ,a.bi.li.dˈa.dʒɪ 
ha·bi·li·do·sa ,a.bi.li.dˈɔ.zɐ 
ha·bi·li·do·sa·men·te ,a.bi.li.dɔ.zã.mˈẽ.tʃɪ 
ha·bi·li·do·so ,a.bi.li.dˈo.zʊ 
ha·bi·li·do·so ,a.bi.li.dˈo.zʊ 
ha·bi·li·ta·ção ,a.bi.li.ta.sˈɐ̃w 
ha·bi·li·ta·do ,a.bi.li.tˈa.dʊ 
ha·bi·li·tan·do ,a.bi.li.tˈɐ̃.dʊ 
ha·bi·li·tan·do ,a.bi.li.tˈɐ̃.dʊ 
ha·bi·li·tan·te ,a.bi.li.tˈɐ̃.tʃɪ 
ha·bi·li·tan·te ,a.bi.li.tˈɐ̃.tʃɪ 
ha·bi·li·tan·te ,a.bi.li.tˈɐ̃.tʃɪ 
ha·bi·li·tar ,a.bi.li.tˈaɾ 
ha·bil·men·te ,a.biw.mˈẽ.tʃɪ 
ha·bi·ta·bi·li·da·de ,a.bi.ta.bi.li.dˈa.dʒɪ 
ha·bi·ta·ção ,a.bi.ta.sˈɐ̃w
ha·bi·ta·ci·o·nal ,a.bi.ta.sjõ.nˈaw 
ha·bi·tá·cu·lo ,a.bi.tˈa.ku.lʊ 
ha·bi·ta·do ,a.bi.tˈa.dʊ 
ha·bi·tan·te ,a.bi.tˈɐ̃.tʃɪ 
ha·bi·tan·te ,a.bi.tˈɐ̃.tʃɪ 
ha·bi·tan·te ,a.bi.tˈɐ̃.tʃɪ 
ha·bi·tar ,a.bi.tˈaɾ 
ha·bi·tat ,a.bˈi.tat 
ha·bi·tá·vel ,a.bi.tˈa.vew 
há·bi·to ,ˈa.bi.tʊ 
ha·bi·tu·a·ção ,a.bi.tu.a.sˈɐ̃w 
ha·bi·tu·a·do ,a.bi.tu.ˈa.dʊ 
ha·bi·tu·al ,a.bi.tu.ˈaw 
ha·bi·tu·a·li·da·de ,a.bi.tu.a.li.dˈa.dʒɪ 
ha·bi·tu·al·men·te ,a.bi.tu.aw.mˈẽ.tʃɪ 
ha·bi·tu·ar ,a.bi.tu.ˈaɾ 
ha·bi·tué , 
ha·bi·tus ,ˈa.bi.tʊʃ 
ha·cer ,a.sˈeɾ 
hac·ker ,
ha·co ,ˈa.kʊ 
ha·co ,ˈa.kʊ 
ha·gi·o·gra·fi·a ,a.ʒjo.gɾa.fˈi.ɐ 
ha·gi·o·grá·fi·co ,a.ʒjo.gɾˈa.fi.kʊ 
ha·gi·ó·gra·fo ,a.ʒjˈɔ.gɾa.fʊ 
hai·ti·a·na ,aj.tʃi.ˈɐ̃.nɐ 
hai·ti·a·no ,aj.tʃi.ˈɐ̃.nʊ 
hai·ti·a·no ,aj.tʃi.ˈɐ̃.nʊ 
ha·la·li ,a.la.lˈi 
ha·li·êu·ti·co ,a.li.ˈew.tʃi.kʊ 
há·li·to ,ˈa.li.tu 
hall , 
ha·lo ,ˈa.lʊ 
ha·lo·ge·na·do ,a.lo.ʒẽ.nˈa.dʊ 
ha·lo·ge·nar ,a.lo.ʒẽ.nˈaɾ 
ha·lo·gé·ne·o ,a.lo.ʒˈɛ̃.njʊ 
ha·lo·gé·ne·o ,a.lo.ʒˈɛ̃.njʊ 
ha·lo·gé·ni·o ,a.lo.ʒˈɛ̃.njʊ 
hal·te·re ,aw.tˈɛ.ɾɪ 
hal·te·ro·fi·li·a ,aw.te.ɾo.fi.lˈi.ɐ
hal·te·ro·fi·lis·mo ,aw.te.ɾo.fi.lˈiʒ.mʊ 
hal·te·ro·fi·lis·ta ,aw.te.ɾo.fi.lˈiʃ.tɐ 
hal·te·ro·fi·lis·ta ,aw.te.ɾo.fi.lˈiʃ.tɐ 
hal·te·ro·fi·lis·ta ,aw.te.ɾo.fi.lˈiʃ.tɐ 
ha·ma·da ,ã.mˈa.dɐ 
ham·búr·guer ,ɐ̃.bˈuɦ.geɾ 
ham·bur·guês ,ɐ̃.bʊɦ.gˈeʃ 
ham·bur·guês ,ɐ̃.bʊɦ.gˈeʃ 
ham·ster , 
han·di·cap , 
han·gar ,ɐ̃.gˈaɾ 
han·sa ,ˈɐ̃.sɐ 
han·se·á·ti·co ,ɐ̃.si.ˈa.tʃi.kʊ 
hap·pe·ning , 
hard , 
hard-rock , 
hard·wa·re , 
ha·rém ,a.ɾˈɛm 
har·mo·ni·a ,aɦ.mõ.nˈi.ɐ 
har·mó·ni·ca ,aɦ.mˈɔ̃.ni.kɐ
har·mó·ni·ca ,aɦ.mˈɔ̃.ni.kɐ 
har·mo·ni·ca·men·te ,aɦ.mõ.ni.kã.mˈẽ.tʃɪ 
har·mó·ni·co ,aɦ.mˈɔ̃.ni.kʊ 
har·mó·ni·o ,aɦ.mˈɔ̃.njʊ 
har·mo·ni·o·sa·men·te ,aɦ.mõ.njɔ.zã.mˈẽ.tʃɪ 
har·mo·ni·o·so ,aɦ.mõ.njˈo.zʊ 
har·mo·ni·za·ção ,aɦ.mõ.ni.za.sˈɐ̃w 
har·mo·ni·za·do ,aɦ.mõ.ni.zˈa.dʊ 
har·mo·ni·za·dor ,aɦ.mõ.ni.za.dˈoɾ 
har·mo·ni·zar ,aɦ.mõ.ni.zˈaɾ 
har·pa ,ˈah.pɐ 
har·pa·gão ,ah.pa.gˈɐ̃w 
har·par ,ah.pˈaɾ 
har·pe·jo ,ah.pˈe.ʒʊ 
har·pis·ta ,ah.pˈiʃ.tɐ 
har·pis·ta ,ah.pˈiʃ.tɐ 
har·to ,ˈah.tʊ 
har·to ,ˈah.tʊ 
has·ta ,ˈaʃ.tɐ 
has·ta·do ,aʃ.tˈa.dʊ
has·ta·do ,aʃ.tˈa.dʊ 
has·te ,ˈaʃ.tʃɪ 
has·te·a·do ,aʃ.tʃi.ˈa.dʊ 
has·te·a·men·to ,aʃ.te.ã.mˈẽ.tʊ 
has·te·ar ,aʃ.tʃi.ˈaɾ 
has·ti·fi·no ,aʃ.tʃi.fˈĩ.nʊ 
haus·to ,ˈawʃ.tʊ 
ha·vai·a·na ,a.vaj.ˈɐ̃.nɐ 
ha·vai·a·no ,a.vaj.ˈɐ̃.nʊ 
ha·vai·a·no ,a.vaj.ˈɐ̃.nʊ 
ha·va·na ,a.vˈɐ̃.nɐ 
ha·va·na ,a.vˈɐ̃.nɐ 
ha·va·nês ,a.vã.nˈeʃ 
ha·va·nês ,a.vã.nˈeʃ 
ha·va·no ,a.vˈɐ̃.nʊ 
ha·va·no ,a.vˈɐ̃.nʊ 
ha·ver ,a.vˈeɾ 
ha·ver ,a.vˈeɾ 
ha·ve·res ,a.vˈe.ɾɪʃ 
ha·xi·xe ,a.ʃˈi.ʃɪ
hea·vy-me·tal , 
heb·do·ma·dá·ri·o ,ɛ.bə.dõ.ma.dˈa.ɾjʊ 
heb·do·ma·dá·ri·o ,ɛ.bə.dõ.ma.dˈa.ɾjʊ 
he·brai·ca ,e.bɾˈaj.kɐ 
he·brai·co ,e.bɾˈaj.kʊ 
he·brai·co ,e.bɾˈaj.kʊ 
he·breu ,e.bɾˈew 
he·breu ,e.bɾˈew 
he·ca·tom·be ,e.ka.tˈõ.bɪ 
hec·ta·re ,e.kə.tˈa.ɾɪ 
hec·to·li·tro ,e.kə.to.lˈi.tɾʊ 
hec·tó·me·tro ,e.kə.tˈɔ̃.me.tɾʊ 
he·di·on·da·men·te  ,e.dʒjõ.dã.mˈẽ.tʃɪ 
he·di·on·dez ,e.dʒjõ.dˈeʃ 
he·di·on·do ,e.dʒjˈõ.dʊ 
he·do·nis·mo ,e.dõ.nˈiʒ.mʊ 
he·do·nis·ta ,e.dõ.nˈiʃ.tɐ 
he·do·nis·ta ,e.dõ.nˈiʃ.tɐ 
he·do·nis·ta ,e.dõ.nˈiʃ.tɐ 
he·do·nís·ti·co ,e.dõ.nˈiʃ.tʃi.kʊ
he·ge·li·a·na ,e.ʒe.li.ˈɐ̃.nɐ 
he·ge·li·a·nis·mo ,e.ʒe.li.ã.nˈiʒ.mʊ 
he·ge·li·a·no ,e.ʒe.li.ˈɐ̃.nʊ 
he·ge·li·a·no ,e.ʒe.li.ˈɐ̃.nʊ 
he·ge·mo·ni·a ,e.ʒẽ.mõ.nˈi.ɐ 
he·ge·mó·ni·co ,e.ʒẽ.mˈɔ̃.ni.kʊ 
he·ge·mo·ni·za·ção ,e.ʒẽ.mõ.ni.za.sˈɐ̃w 
he·ge·mo·ni·zar ,e.ʒẽ.mõ.ni.zˈaɾ 
hé·gi·ra ,ˈɛ.ʒi.ɾɐ 
he·le·ni·ca·men·te  ,e.lɛ̃.ni.kã.mˈẽ.tʃɪ 
he·lé·ni·co ,e.lˈɛ̃.ni.kʊ 
he·lé·ni·co ,e.lˈɛ̃.ni.kʊ 
he·lé·ni·o ,e.lˈɛ̃.njʊ 
he·le·nis·mo ,e.lẽ.nˈiʒ.mʊ 
he·le·nis·ta ,e.lẽ.nˈiʃ.tɐ 
he·le·nis·ta ,e.lẽ.nˈiʃ.tɐ 
he·le·nis·ti·ca·men·te  ,e.lẽ.niʃ.tʃi.kã.mˈẽ.tʃɪ 
he·le·nís·ti·co ,e.lẽ.nˈiʃ.tʃi.kʊ 
he·le·no ,e.lˈẽ.nʊ 
he·le·no ,e.lˈẽ.nʊ
he·lí·a·co ,e.lˈi.a.kʊ 
he·li·ci·cul·tor ,e.li.si.kʊw.tˈoɾ 
he·li·ci·cul·tor ,e.li.si.kʊw.tˈoɾ 
he·li·coi·dal ,e.li.koj.dˈaw 
he·li·cóp·te·ro ,e.li.kˈɔ.pi.te.ɾʊ 
hé·li·o ,ˈɛ.ljʊ 
he·li·o·cên·tri·co ,e.ljo.sˈẽ.tɾi.kʊ 
he·li·o·cen·tris·mo ,ɛ.ljo.sẽ.tɾˈiʒ.mʊ 
he·li·por·to ,e.li.pˈoh.tʊ 
he·li·trans·por·ta·do ,e.li.tɾɐ̃ʃ.poh.tˈa.dʊ 
he·li·trans·por·tar ,e.li.tɾɐ̃ʃ.poh.tˈaɾ 
he·li·trans·por·te ,e.li.tɾɐ̃ʃ.pˈɔh.tʃɪ 
hé·lix ,ˈɛ.liks 
hel·vé·ci·o ,ew.vˈɛ.sjʊ 
hel·vé·ci·o ,ew.vˈɛ.sjʊ 
hel·vé·ti·ca ,ew.vˈɛ.tʃi.kɐ 
hel·vé·ti·co ,ew.vˈɛ.tʃi.kʊ 
hel·vé·ti·co ,ew.vˈɛ.tʃi.kʊ 
hem ,ˈẽj
he·ma·tó·cri·to ,ẽ.ma.tˈɔ.kɾi.tʊ 
he·ma·to·lo·gi·a ,ẽ.ma.to.lo.ʒˈi.ɐ 
he·ma·to·ló·gi·co ,ẽ.ma.to.lˈɔ.ʒi.kʊ 
he·ma·to·lo·gis·ta ,ẽ.ma.to.lo.ʒˈiʃ.tɐ 
he·ma·to·lo·gis·ta ,ẽ.ma.to.lo.ʒˈiʃ.tɐ 
he·ma·to·ma ,ẽ.ma.tˈɔ̃.mɐ 
he·ma·tú·ri·a ,ẽ.ma.tˈu.ɾjɐ 
he·me·ro·te·ca ,ẽ.me.ɾo.tˈɛ.kɐ 
he·mi·ci·clo ,ẽ.mi.sˈi.klʊ 
he·mi·ple·gi·a ,ẽ.mi.ple.ʒˈi.ɐ 
he·mi·plé·gi·ca ,ẽ.mi.plˈɛ.ʒi.kɐ 
he·mi·plé·gi·co ,ẽ.mi.plˈɛ.ʒi.kʊ 
he·mi·plé·gi·co ,ẽ.mi.plˈɛ.ʒi.kʊ 
he·mis·fé·ri·co ,ẽ.miʃ.fˈɛ.ɾi.kʊ 
he·mis·fé·ri·o ,ẽ.miʃ.fˈɛ.ɾjʊ 
